player_name,normalized_player_name,club_name,normalized_club_name,decade,position,player_id,club_id,club_decade_id,nationality,effective_rating
Rubén Gomez,ruben gomez,Stal Alchevsk,stal alchevsk,2000s,Midfield - Central Midfield,24008,10468,10468_stal_alchevsk_2000s,Argentina,74
Yakiv Kripak,yakiv kripak,Stal Alchevsk,stal alchevsk,2000s,Attack - Centre-Forward,418361,10468,10468_stal_alchevsk_2000s,Ukraine,68.6
Andriy Gavryushov,andriy gavryushov,Stal Alchevsk,stal alchevsk,2000s,Defender - Right-Back,59039,10468,10468_stal_alchevsk_2000s,Ukraine,63.6
Bogdan Mara,bogdan mara,Stal Alchevsk,stal alchevsk,2000s,Midfield - Attacking Midfield,47602,10468,10468_stal_alchevsk_2000s,Romania,61.9
Vitaliy Gavrysh,vitaliy gavrysh,Stal Alchevsk,stal alchevsk,2000s,Defender - Centre-Back,59038,10468,10468_stal_alchevsk_2000s,Ukraine,61.9
Yevgen Kotov,yevgen kotov,Stal Alchevsk,stal alchevsk,2000s,Defender - Centre-Back,98479,10468,10468_stal_alchevsk_2000s,Ukraine,61.9
Oleksandr Akymenko,oleksandr akymenko,Stal Alchevsk,stal alchevsk,2000s,Attack - Centre-Forward,91366,10468,10468_stal_alchevsk_2000s,Ukraine,58.6
Paulo Ramos Vogt,paulo ramos vogt,Stal Alchevsk,stal alchevsk,2000s,Attack - Centre-Forward,19728,10468,10468_stal_alchevsk_2000s,Brazil  Portugal,51.2
Sergiy Grybanov,sergiy grybanov,Stal Alchevsk,stal alchevsk,2000s,Attack - Centre-Forward,91214,10468,10468_stal_alchevsk_2000s,Ukraine,51.2
Ruslan Yermolenko,ruslan yermolenko,Stal Alchevsk,stal alchevsk,2000s,Midfield - Central Midfield,91245,10468,10468_stal_alchevsk_2000s,Ukraine,51.2
Yuriy Danchenko,yuriy danchenko,Stal Alchevsk,stal alchevsk,2000s,Defender - Left-Back,91704,10468,10468_stal_alchevsk_2000s,Ukraine,51.2
Roman Voynarovskiy,roman voynarovskiy,Stal Alchevsk,stal alchevsk,2000s,Midfield - Defensive Midfield,91579,10468,10468_stal_alchevsk_2000s,Russia  Ukraine,45.6
Oleksandr Gladkyi,oleksandr gladkyi,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Attack - Centre-Forward,53270,10674,10674_fk_kharkiv_2010_2000s,Ukraine,84.8
Yuriy Tselykh,yuriy tselykh,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Attack - Centre-Forward,58255,10674,10674_fk_kharkiv_2010_2000s,Ukraine,78.3
Rustam Khudzhamov,rustam khudzhamov,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Goalkeeper,58043,10674,10674_fk_kharkiv_2010_2000s,Ukraine,76
Ruslan Platon,ruslan platon,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Attack - Centre-Forward,58103,10674,10674_fk_kharkiv_2010_2000s,Ukraine  Russia,76
Andriy Berezovchuk,andriy berezovchuk,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Defender - Centre-Back,57971,10674,10674_fk_kharkiv_2010_2000s,Ukraine,72.6
William Batista,william batista,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Attack - Centre-Forward,25563,10674,10674_fk_kharkiv_2010_2000s,Brazil,71.1
Andriy Smalko,andriy smalko,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Midfield - Central Midfield,58137,10674,10674_fk_kharkiv_2010_2000s,Ukraine,71.1
Aleksey Suchkov,aleksey suchkov,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Midfield - Left Midfield,58142,10674,10674_fk_kharkiv_2010_2000s,Belarus,71.1
Oleksandr Maksymov,oleksandr maksymov,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Midfield - Central Midfield,58956,10674,10674_fk_kharkiv_2010_2000s,Ukraine,69.1
Oleksandr Sytnyk,oleksandr sytnyk,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Midfield - Right Midfield,72899,10674,10674_fk_kharkiv_2010_2000s,Ukraine,67.4
Vadym Milko,vadym milko,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Midfield - Central Midfield,58418,10674,10674_fk_kharkiv_2010_2000s,Ukraine,67
Taras Kabanov,taras kabanov,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Attack - Centre-Forward,35352,10674,10674_fk_kharkiv_2010_2000s,Ukraine,65.5
Kakhaber Aladashvili,kakhaber aladashvili,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Defender - Right-Back,25739,10674,10674_fk_kharkiv_2010_2000s,Georgia,51.2
Oleg Karamushka,oleg karamushka,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Defender - Centre-Back,27191,10674,10674_fk_kharkiv_2010_2000s,Ukraine,51.2
Maciej Nalepa,maciej nalepa,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Goalkeeper,29731,10674,10674_fk_kharkiv_2010_2000s,Poland,51.2
Dmytro Gololobov,dmytro gololobov,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Defender - Centre-Back,91352,10674,10674_fk_kharkiv_2010_2000s,Ukraine,51.2
Oleksandr Sklyar,oleksandr sklyar,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Midfield - Central Midfield,91801,10674,10674_fk_kharkiv_2010_2000s,Ukraine,51.2
Volodymyr Kornutyak,volodymyr kornutyak,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Defender - Centre-Back,95784,10674,10674_fk_kharkiv_2010_2000s,Ukraine  Hungary,51.2
Igor Prodan,igor prodan,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Attack - Centre-Forward,167028,10674,10674_fk_kharkiv_2010_2000s,Ukraine,51.2
Oleksiy Ivanov,oleksiy ivanov,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Midfield - Attacking Midfield,28924,10674,10674_fk_kharkiv_2010_2000s,Ukraine,45.4
Pavlo Ksyonz,pavlo ksyonz,FK Kharkiv (-2010),fk kharkiv 2010,2000s,Defender - Right-Back,57888,10674,10674_fk_kharkiv_2010_2000s,Ukraine,45.1
Oleksiy Antonov,oleksiy antonov,Zorya Lugansk,zorya lugansk,2000s,Attack - Centre-Forward,25845,10690,10690_zorya_lugansk_2000s,Ukraine,76.5
Igor Skoba,igor skoba,Zorya Lugansk,zorya lugansk,2000s,Midfield - Central Midfield,12064,10690,10690_zorya_lugansk_2000s,Ukraine  Russia,75.8
Darko Dunjic,darko dunjic,Zorya Lugansk,zorya lugansk,2000s,Defender - Right-Back,58230,10690,10690_zorya_lugansk_2000s,Serbia,75.1
Aleksey Kurilov,aleksey kurilov,Zorya Lugansk,zorya lugansk,2000s,Defender - Centre-Back,59423,10690,10690_zorya_lugansk_2000s,Russia  Ukraine,72.2
Alexandru Popovici,alexandru popovici,Zorya Lugansk,zorya lugansk,2000s,Attack - Centre-Forward,58246,10690,10690_zorya_lugansk_2000s,Moldova  Russia,69.6
Sergiy Silyuk,sergiy silyuk,Zorya Lugansk,zorya lugansk,2000s,Attack - Centre-Forward,41885,10690,10690_zorya_lugansk_2000s,Ukraine,68.6
Yuriy Tselykh,yuriy tselykh,Zorya Lugansk,zorya lugansk,2000s,Attack - Centre-Forward,58255,10690,10690_zorya_lugansk_2000s,Ukraine,67.9
Andriy Tlumak,andriy tlumak,Zorya Lugansk,zorya lugansk,2000s,Goalkeeper,59447,10690,10690_zorya_lugansk_2000s,Ukraine,65.5
Vadym Milko,vadym milko,Zorya Lugansk,zorya lugansk,2000s,Midfield - Central Midfield,58418,10690,10690_zorya_lugansk_2000s,Ukraine,64.6
Yegor Kartushov,yegor kartushov,Zorya Lugansk,zorya lugansk,2000s,Midfield - Left Midfield,94925,10690,10690_zorya_lugansk_2000s,Ukraine,64.6
Igor Sikorskyi,igor sikorskyi,Zorya Lugansk,zorya lugansk,2000s,Attack - Centre-Forward,74752,10690,10690_zorya_lugansk_2000s,Ukraine,62.9
Oleksiy Polyanskyi,oleksiy polyanskyi,Zorya Lugansk,zorya lugansk,2000s,Defender - Centre-Back,49018,10690,10690_zorya_lugansk_2000s,Ukraine,61.9
Andriy Smalko,andriy smalko,Zorya Lugansk,zorya lugansk,2000s,Midfield - Central Midfield,58137,10690,10690_zorya_lugansk_2000s,Ukraine,61.9
Andriy Gavryushov,andriy gavryushov,Zorya Lugansk,zorya lugansk,2000s,Defender - Right-Back,59039,10690,10690_zorya_lugansk_2000s,Ukraine,61.9
Volodymyr Yezerskyi,volodymyr yezerskyi,Zorya Lugansk,zorya lugansk,2000s,Defender - Right-Back,24006,10690,10690_zorya_lugansk_2000s,Ukraine,60.4
Yevgeniy Shmakov,yevgeniy shmakov,Zorya Lugansk,zorya lugansk,2000s,Midfield - Defensive Midfield,58251,10690,10690_zorya_lugansk_2000s,Ukraine,60.4
Sergiy Zadorozhnyi,sergiy zadorozhnyi,Zorya Lugansk,zorya lugansk,2000s,Defender - Left-Back,96879,10690,10690_zorya_lugansk_2000s,Ukraine,60.4
Igor Bazhan,igor bazhan,Zorya Lugansk,zorya lugansk,2000s,Goalkeeper,27126,10690,10690_zorya_lugansk_2000s,Ukraine,58.6
Sergiy Siminin,sergiy siminin,Zorya Lugansk,zorya lugansk,2000s,Defender - Right-Back,58252,10690,10690_zorya_lugansk_2000s,Ukraine,58.6
Taras Duray,taras duray,Zorya Lugansk,zorya lugansk,2000s,Defender - Centre-Back,98472,10690,10690_zorya_lugansk_2000s,Ukraine,58.6
Vladyslav Ogirya,vladyslav ogirya,Zorya Lugansk,zorya lugansk,2000s,Midfield - Defensive Midfield,111072,10690,10690_zorya_lugansk_2000s,Ukraine,58.6
Rubén Gomez,ruben gomez,Zorya Lugansk,zorya lugansk,2000s,Midfield - Central Midfield,24008,10690,10690_zorya_lugansk_2000s,Argentina,51.2
Maksim Aristarkhov,maksim aristarkhov,Zorya Lugansk,zorya lugansk,2000s,Attack - Centre-Forward,25881,10690,10690_zorya_lugansk_2000s,Russia,51.2
Sergiy Dmytriev,sergiy dmytriev,Zorya Lugansk,zorya lugansk,2000s,Attack - Left Winger,57997,10690,10690_zorya_lugansk_2000s,Ukraine  Russia,51.2
Anatoliy Pylypenko,anatoliy pylypenko,Zorya Lugansk,zorya lugansk,2000s,Goalkeeper,58102,10690,10690_zorya_lugansk_2000s,Ukraine,51.2
Maksym Kovalyov,maksym kovalyov,Zorya Lugansk,zorya lugansk,2000s,Defender - Centre-Back,58402,10690,10690_zorya_lugansk_2000s,Ukraine,51.2
Ivan Matyazh,ivan matyazh,Zorya Lugansk,zorya lugansk,2000s,Midfield - Central Midfield,59249,10690,10690_zorya_lugansk_2000s,Ukraine,51.2
Oleg Shevchenko,oleg shevchenko,Zorya Lugansk,zorya lugansk,2000s,Defender - Centre-Back,91714,10690,10690_zorya_lugansk_2000s,Ukraine,51.2
Ivan Pogorelov,ivan pogorelov,Zorya Lugansk,zorya lugansk,2000s,Midfield - Defensive Midfield,91786,10690,10690_zorya_lugansk_2000s,Ukraine,51.2
Igor Chaykovskyi,igor chaykovskyi,Zorya Lugansk,zorya lugansk,2000s,Midfield - Defensive Midfield,94923,10690,10690_zorya_lugansk_2000s,Ukraine,51.2
Vitaliy Vitsenets,vitaliy vitsenets,Zorya Lugansk,zorya lugansk,2000s,Midfield - Central Midfield,94931,10690,10690_zorya_lugansk_2000s,Ukraine  Russia,51.2
Dmytro Khomchenovskyi,dmytro khomchenovskyi,Zorya Lugansk,zorya lugansk,2010s,Midfield - Left Midfield,59896,10690,10690_zorya_lugansk_2010s,Ukraine,91.4
Pylyp Budkivskyi,pylyp budkivskyi,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,99863,10690,10690_zorya_lugansk_2010s,Ukraine,89
Artem Gromov,artem gromov,Zorya Lugansk,zorya lugansk,2010s,Attack - Left Winger,122088,10690,10690_zorya_lugansk_2010s,Ukraine,88.7
Ivan Petryak,ivan petryak,Zorya Lugansk,zorya lugansk,2010s,Attack - Left Winger,203074,10690,10690_zorya_lugansk_2010s,Ukraine,86.6
Bogdan Lednev,bogdan lednev,Zorya Lugansk,zorya lugansk,2010s,Midfield - Attacking Midfield,423606,10690,10690_zorya_lugansk_2010s,Ukraine,83.9
Vladyslav Kochergin,vladyslav kochergin,Zorya Lugansk,zorya lugansk,2010s,Midfield - Defensive Midfield,248932,10690,10690_zorya_lugansk_2010s,Ukraine,83.5
Lucky Idahor,lucky idahor,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,59269,10690,10690_zorya_lugansk_2010s,Nigeria,83.2
Ruslan Malinovskyi,ruslan malinovskyi,Zorya Lugansk,zorya lugansk,2010s,Midfield - Attacking Midfield,207877,10690,10690_zorya_lugansk_2010s,Ukraine,82.1
Vladyslav Kabaev,vladyslav kabaev,Zorya Lugansk,zorya lugansk,2010s,Attack - Left Winger,210689,10690,10690_zorya_lugansk_2010s,Ukraine,82.1
Iury Castilho,iury castilho,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,366450,10690,10690_zorya_lugansk_2010s,Brazil,81.9
Mykyta Shevchenko,mykyta shevchenko,Zorya Lugansk,zorya lugansk,2010s,Goalkeeper,80312,10690,10690_zorya_lugansk_2010s,Ukraine,81.4
Vitaliy Vernydub,vitaliy vernydub,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,59973,10690,10690_zorya_lugansk_2010s,Ukraine,80.5
Vladlen Yurchenko,vladlen yurchenko,Zorya Lugansk,zorya lugansk,2010s,Midfield - Attacking Midfield,157373,10690,10690_zorya_lugansk_2010s,Ukraine,80.5
Andriy Totovytskyi,andriy totovytskyi,Zorya Lugansk,zorya lugansk,2010s,Midfield - Attacking Midfield,277777,10690,10690_zorya_lugansk_2010s,Ukraine,80.4
Igor Kharatin,igor kharatin,Zorya Lugansk,zorya lugansk,2010s,Midfield - Defensive Midfield,213976,10690,10690_zorya_lugansk_2010s,Ukraine  Hungary,80.1
Maksym Bilyi,maksym bilyi,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,107803,10690,10690_zorya_lugansk_2010s,Ukraine,79.4
Igor Chaykovskyi,igor chaykovskyi,Zorya Lugansk,zorya lugansk,2010s,Midfield - Defensive Midfield,94923,10690,10690_zorya_lugansk_2010s,Ukraine,79.3
Yevgen Opanasenko,yevgen opanasenko,Zorya Lugansk,zorya lugansk,2010s,Defender - Right-Back,86931,10690,10690_zorya_lugansk_2010s,Ukraine,78.7
Silas,silas,Zorya Lugansk,zorya lugansk,2010s,Midfield - Defensive Midfield,373302,10690,10690_zorya_lugansk_2010s,Brazil,78.3
Sergiy Silyuk,sergiy silyuk,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,41885,10690,10690_zorya_lugansk_2010s,Ukraine,78
Paulinho,paulinho,Zorya Lugansk,zorya lugansk,2010s,Attack - Left Winger,259461,10690,10690_zorya_lugansk_2010s,Brazil  Bulgaria,77.7
Nazariy Rusyn,nazariy rusyn,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,366729,10690,10690_zorya_lugansk_2010s,Ukraine,77.3
Emmanuel Dennis,emmanuel dennis,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,448854,10690,10690_zorya_lugansk_2010s,Nigeria,75.6
Oleksandr Grytsay,oleksandr grytsay,Zorya Lugansk,zorya lugansk,2010s,Midfield - Defensive Midfield,24010,10690,10690_zorya_lugansk_2010s,Ukraine,74.7
Bogdan Mykhaylichenko,bogdan mykhaylichenko,Zorya Lugansk,zorya lugansk,2010s,Defender - Left-Back,294730,10690,10690_zorya_lugansk_2010s,Ukraine,74.3
Maksym Lunyov,maksym lunyov,Zorya Lugansk,zorya lugansk,2010s,Attack - Left Winger,401822,10690,10690_zorya_lugansk_2010s,Ukraine,73.7
Krsevan Santini,krsevan santini,Zorya Lugansk,zorya lugansk,2010s,Goalkeeper,50346,10690,10690_zorya_lugansk_2010s,Croatia,72.9
Oleksiy Polyanskyi,oleksiy polyanskyi,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,49018,10690,10690_zorya_lugansk_2010s,Ukraine,72.6
Oleksiy Shevchenko,oleksiy shevchenko,Zorya Lugansk,zorya lugansk,2010s,Goalkeeper,136537,10690,10690_zorya_lugansk_2010s,Ukraine,72.4
Vitaliy Postranskyi,vitaliy postranskyi,Zorya Lugansk,zorya lugansk,2010s,Goalkeeper,34670,10690,10690_zorya_lugansk_2010s,Ukraine,70.7
Franck Madou,franck madou,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,45449,10690,10690_zorya_lugansk_2010s,France  Cote d'Ivoire,70.2
Vladyslav Kalitvintsev,vladyslav kalitvintsev,Zorya Lugansk,zorya lugansk,2010s,Midfield - Right Midfield,108710,10690,10690_zorya_lugansk_2010s,Ukraine  Russia,70.2
Volodymyr Yezerskyi,volodymyr yezerskyi,Zorya Lugansk,zorya lugansk,2010s,Defender - Right-Back,24006,10690,10690_zorya_lugansk_2010s,Ukraine,69.1
Ruslan Fomin,ruslan fomin,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,36238,10690,10690_zorya_lugansk_2010s,Ukraine,69.1
Vladyslav Kulach,vladyslav kulach,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,167556,10690,10690_zorya_lugansk_2010s,Ukraine,68.6
Mikhail Sivakov,mikhail sivakov,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,36364,10690,10690_zorya_lugansk_2010s,Belarus,68.2
Toni Sunjic,toni sunjic,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,60790,10690,10690_zorya_lugansk_2010s,Bosnia-Herzegovina  Croatia,68.2
Andriy Lunin,andriy lunin,Zorya Lugansk,zorya lugansk,2010s,Goalkeeper,404839,10690,10690_zorya_lugansk_2010s,Ukraine,68.2
Yevgen Cheberko,yevgen cheberko,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,343153,10690,10690_zorya_lugansk_2010s,Ukraine,67.9
Oleksandr Svatok,oleksandr svatok,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,244271,10690,10690_zorya_lugansk_2010s,Ukraine,67.4
Artem Sukhotskyi,artem sukhotskyi,Zorya Lugansk,zorya lugansk,2010s,Midfield - Left Midfield,123543,10690,10690_zorya_lugansk_2010s,Ukraine,67
Denys Bezborodko,denys bezborodko,Zorya Lugansk,zorya lugansk,2010s,Attack - Centre-Forward,269371,10690,10690_zorya_lugansk_2010s,Ukraine,67
Luiz Felipe,luiz felipe,Zorya Lugansk,zorya lugansk,2010s,Goalkeeper,573907,10690,10690_zorya_lugansk_2010s,Brazil,66.7
Vitaliy Vitsenets,vitaliy vitsenets,Zorya Lugansk,zorya lugansk,2010s,Midfield - Central Midfield,94931,10690,10690_zorya_lugansk_2010s,Ukraine  Russia,66.3
Levan Arveladze,levan arveladze,Zorya Lugansk,zorya lugansk,2010s,Midfield - Central Midfield,168292,10690,10690_zorya_lugansk_2010s,Ukraine  Georgia,66.3
Rafael Ratão,rafael ratao,Zorya Lugansk,zorya lugansk,2010s,Attack - Left Winger,289802,10690,10690_zorya_lugansk_2010s,Brazil,66.3
Vadym Milko,vadym milko,Zorya Lugansk,zorya lugansk,2010s,Midfield - Central Midfield,58418,10690,10690_zorya_lugansk_2010s,Ukraine,65.5
Eduard Sobol,eduard sobol,Zorya Lugansk,zorya lugansk,2010s,Defender - Left-Back,206717,10690,10690_zorya_lugansk_2010s,Ukraine,65.5
Yevgeniy Tkachuk,yevgeniy tkachuk,Zorya Lugansk,zorya lugansk,2010s,Defender - Centre-Back,86466,10690,10690_zorya_lugansk_2010s,Ukraine,64.6
