player_name,normalized_player_name,club_name,decade,source_pass,confidence,input_position,game_position,goals,assists,clean_sheets,seasons_count,raw_score,provisional_rating,rating_reason,player_id,club_decade_player_id
Oleksandr Shovkovskyi,oleksandr shovkovskyi,Dynamo Kyiv,1990s,legends,High,GK,GK,0,,,7,21.0,70.3,Relative legends rating at the 90% percentile of the same-position group (4 players); confidence=High; reconstructed statistics were too incomplete for rating,8816756,338_dynamo_kyiv_1990s_8816756
Oleksandr Shovkovskyi,oleksandr shovkovskyi,Dynamo Kyiv,2000s,legends,High,GK,GK,0,,,10,30.0,74.1,Relative legends rating at the 90% percentile of the same-position group (10 players); confidence=High; reconstructed statistics were too incomplete for rating,8816756,338_dynamo_kyiv_2000s_8816756
Oleksandr Shovkovskyi,oleksandr shovkovskyi,Dynamo Kyiv,2010s,legends,High,GK,GK,0,,,7,21.0,81.2,Relative legends rating at the 90% percentile of the same-position group (8 players); confidence=High; reconstructed statistics were too incomplete for rating,8816756,338_dynamo_kyiv_2010s_8816756
Oleg Gusev,oleg gusev,Dynamo Kyiv,2000s,legends,High,RM/RB,RM,,,,7,21.0,78.1,Relative legends rating at the 90% percentile of the same-position group (4 players); confidence=High; reconstructed statistics were too incomplete for rating,8318705,338_dynamo_kyiv_2000s_8318705
Oleg Gusev,oleg gusev,Dynamo Kyiv,2010s,legends,High,RM/RB,RM,,,,7,21.0,92.0,Relative legends rating at the 90% percentile of the same-position group (5 players); confidence=High; reconstructed statistics were too incomplete for rating,8318705,338_dynamo_kyiv_2010s_8318705
Vladyslav Vashchuk,vladyslav vashchuk,Dynamo Kyiv,1990s,legends,High,CB,CB,,,,,,89.3,Relative legends rating at the 90% percentile of the overall club-decade pool (17 players); confidence=High,8789170,338_dynamo_kyiv_1990s_8789170
Vladyslav Vashchuk,vladyslav vashchuk,Dynamo Kyiv,2000s,legends,High,CB,CB,,,,,,85.4,Relative legends rating at the 90% percentile of the same-position group (8 players); confidence=High,8789170,338_dynamo_kyiv_2000s_8789170
Serhiy Rebrov,serhiy rebrov,Dynamo Kyiv,1990s,legends,High,FW/AM,FW,,,,,,92.0,Relative legends rating at the 90% percentile of the same-position group (3 players); confidence=High,8205827,338_dynamo_kyiv_1990s_8205827
Serhiy Rebrov,serhiy rebrov,Dynamo Kyiv,2000s,legends,High,FW/AM,FW,,,,,,92.0,Relative legends rating at the 90% percentile of the same-position group (12 players); confidence=High,8205827,338_dynamo_kyiv_2000s_8205827
Andriy Nesmachnyi,andriy nesmachnyi,Dynamo Kyiv,1990s,legends,High,LB,LB,,,,3,9.0,88.2,Relative legends rating at the 87% percentile of the overall club-decade pool (17 players); confidence=High; reconstructed statistics were too incomplete for rating,8841428,338_dynamo_kyiv_1990s_8841428
Andriy Nesmachnyi,andriy nesmachnyi,Dynamo Kyiv,2000s,legends,High,LB,LB,,,,10,30.0,83.3,Relative legends rating at the 87% percentile of the overall club-decade pool (60 players); confidence=High; reconstructed statistics were too incomplete for rating,8841428,338_dynamo_kyiv_2000s_8841428
Andriy Nesmachnyi,andriy nesmachnyi,Dynamo Kyiv,2010s,legends,High,LB,LB,,,,1,3.0,74.9,Relative legends rating at the 87% percentile of the same-position group (8 players); confidence=High; reconstructed statistics were too incomplete for rating,8841428,338_dynamo_kyiv_2010s_8841428
Valentyn Belkevych,valentyn belkevych,Dynamo Kyiv,1990s,legends,High,AM/CM,AM,,,,4,12.0,84.0,Relative legends rating at the 90% percentile of the same-position group (3 players); confidence=High; reconstructed statistics were too incomplete for rating,8647189,338_dynamo_kyiv_1990s_8647189
Valentyn Belkevych,valentyn belkevych,Dynamo Kyiv,2000s,legends,High,AM/CM,AM,,,,8,24.0,86.5,Relative legends rating at the 90% percentile of the same-position group (3 players); confidence=High; reconstructed statistics were too incomplete for rating,8647189,338_dynamo_kyiv_2000s_8647189
Andriy Husin,andriy husin,Dynamo Kyiv,1990s,legends,High,CM/DM,CM,,,,7,21.0,87.6,Relative legends rating at the 87% percentile of the same-position group (3 players); confidence=High; reconstructed statistics were too incomplete for rating,8620253,338_dynamo_kyiv_1990s_8620253
Andriy Husin,andriy husin,Dynamo Kyiv,2000s,legends,High,CM/DM,CM,,,,5,15.0,73.1,Relative legends rating at the 87% percentile of the same-position group (7 players); confidence=High; reconstructed statistics were too incomplete for rating,8620253,338_dynamo_kyiv_2000s_8620253
