missing_player_name,normalized_missing_player_name,club_name,decade,position,seasons_at_club,appearances,goals,source_name,source_url,confidence,reason_for_inclusion,notes
Tiberiu Ghioane,tiberiu ghioane,Dynamo Kyiv,2000s,Midfielder,2001/02-2010/11,168,32,ALLPLAYERS team players / legionnaires,https://www.allplayers.in.ua/ua/team_players/1 ; https://www.allplayers.in.ua/ua/club_legioner/1,High,Core Dynamo midfielder with 168 league appearances and 32 goals; 50+ threshold clearly exceeded.,"ALLPLAYERS league aggregate, not decade-split."
Tiberiu Ghioane,tiberiu ghioane,Dynamo Kyiv,2010s,Midfielder,2001/02-2010/11,168,32,ALLPLAYERS team players / legionnaires,https://www.allplayers.in.ua/ua/team_players/1 ; https://www.allplayers.in.ua/ua/club_legioner/1,High,Core Dynamo midfielder with 168 league appearances and 32 goals; 50+ threshold clearly exceeded.,"ALLPLAYERS league aggregate, not decade-split."
Badr El Kaddouri,badr el kaddouri,Dynamo Kyiv,2000s,Defender,2002/03-2011/12,123,4,ALLPLAYERS team players / legioner scorers,https://www.allplayers.in.ua/ua/team_players/1 ; https://www.allplayers.in.ua/ua/legioner_scorers,High,Long-serving Dynamo defender; ALLPLAYERS snippet lists Dynamo total of 123 league matches.,Stats are aggregate at club level; spelling/transliteration may vary as El-Kaddouri / El Kaddouri.
Badr El Kaddouri,badr el kaddouri,Dynamo Kyiv,2010s,Defender,2002/03-2011/12,123,4,ALLPLAYERS team players / legioner scorers,https://www.allplayers.in.ua/ua/team_players/1 ; https://www.allplayers.in.ua/ua/legioner_scorers,High,Long-serving Dynamo defender; ALLPLAYERS snippet lists Dynamo total of 123 league matches.,Stats are aggregate at club level; spelling/transliteration may vary as El-Kaddouri / El Kaddouri.
Oleksandr Aliyev,oleksandr aliyev,Dynamo Kyiv,2000s,Midfielder,2005/06-2010/11,121,33,ALLPLAYERS team players / national-team list,https://www.allplayers.in.ua/ua/team_players/1 ; https://www.allplayers.in.ua/ua/club_national_player/1,Medium,Ukraine national team midfielder and Dynamo core player; ALLPLAYERS snippet shows 121/33 adjacent to Dynamo player list but row label was truncated in search output.,Needs manual check for Aliyev/Aliyev/Aliev transliteration before database insert.
Oleksandr Aliyev,oleksandr aliyev,Dynamo Kyiv,2010s,Midfielder,2005/06-2010/11,121,33,ALLPLAYERS team players / national-team list,https://www.allplayers.in.ua/ua/team_players/1 ; https://www.allplayers.in.ua/ua/club_national_player/1,Medium,Ukraine national team midfielder and Dynamo core player; ALLPLAYERS snippet shows 121/33 adjacent to Dynamo player list but row label was truncated in search output.,Needs manual check for Aliyev/Aliyev/Aliev transliteration before database insert.
Artem Besyedin,artem besyedin,Dynamo Kyiv,2010s,Forward,2016/17-2021/22,83,30,ALLPLAYERS team players / national-team list,https://www.allplayers.in.ua/ua/team_players/1 ; https://www.allplayers.in.ua/ua/club_national_player/1,High,Dynamo senior striker and Ukraine international; ALLPLAYERS snippet lists 83 league apps and 30 goals for Dynamo.,Aggregate club league total; decade split not provided by source snippet.
Artem Besyedin,artem besyedin,Dynamo Kyiv,2020s,Forward,2016/17-2021/22,83,30,ALLPLAYERS team players / national-team list,https://www.allplayers.in.ua/ua/team_players/1 ; https://www.allplayers.in.ua/ua/club_national_player/1,High,Dynamo senior striker and Ukraine international; ALLPLAYERS snippet lists 83 league apps and 30 goals for Dynamo.,Aggregate club league total; decade split not provided by source snippet.
Volodymyr Shepelev,volodymyr shepelev,Dynamo Kyiv,2010s,Midfielder,2016/17-present,>=50,incomplete,ALLPLAYERS player profile / Dynamo squad page,https://www.allplayers.in.ua/ua/player/4018 ; https://www.allplayers.in.ua/ua/team_players/1,Medium,Dynamo first-team midfielder with long senior-team run since 2016/17; likely above 50 league appearances.,Exact aggregate was not available in accessible snippet; verify exact apps before importing. Potential transliteration: Shepeliev.
Volodymyr Shepelev,volodymyr shepelev,Dynamo Kyiv,2020s,Midfielder,2016/17-present,>=50,incomplete,ALLPLAYERS player profile / Dynamo squad page,https://www.allplayers.in.ua/ua/player/4018 ; https://www.allplayers.in.ua/ua/team_players/1,Medium,Dynamo first-team midfielder with long senior-team run since 2016/17; likely above 50 league appearances.,Exact aggregate was not available in accessible snippet; verify exact apps before importing. Potential transliteration: Shepeliev.
Yevhen Cheberyachko,yevhen cheberyachko,Dnipro Dnipropetrovsk (- 2020),2010s,Defender,2009/10-2016/17,>=100,incomplete,ALLPLAYERS team players / FC Dnipro history references,https://www.allplayers.in.ua/ua/team_players/3 ; https://fcdnipro.com/news/30-znakovyh-gravcziv-dnipra.html,Medium,Long-term Dnipro defender and regular in the Europa League-final era; clearly a core squad candidate above 50.,Exact ALLPLAYERS aggregate not visible in accessible snippets; verify final app/goal totals.
Vitaliy Mandzyuk,vitaliy mandzyuk,Dnipro Dnipropetrovsk (- 2020),2000s,Defender,2009/10-2014/15,>=50,incomplete,ALLPLAYERS team players / FC Dnipro references,https://www.allplayers.in.ua/ua/team_players/3,Medium,Ukraine international defender and regular Dnipro player across late 2000s/early 2010s; 50+ threshold likely exceeded.,Exact league total unavailable in accessible snippets; check Mandzyuk/Mandziuk spelling.
Vitaliy Mandzyuk,vitaliy mandzyuk,Dnipro Dnipropetrovsk (- 2020),2010s,Defender,2009/10-2014/15,>=50,incomplete,ALLPLAYERS team players / FC Dnipro references,https://www.allplayers.in.ua/ua/team_players/3,Medium,Ukraine international defender and regular Dnipro player across late 2000s/early 2010s; 50+ threshold likely exceeded.,Exact league total unavailable in accessible snippets; check Mandzyuk/Mandziuk spelling.
Ivan Strinic,ivan strinic,Dnipro Dnipropetrovsk (- 2020),2010s,Defender,2010/11-2014/15,>=50,incomplete,ALLPLAYERS team players / Dnipro history references,https://www.allplayers.in.ua/ua/team_players/3 ; https://fcdnipro.com/news/30-znakovyh-gravcziv-dnipra.html,Medium,"Croatia international left-back and regular starter for Dnipro in 2010s, including European-cup period.",Exact league total not visible in accessible snippet; verify before insertion.
Jan Lastuvka,jan lastuvka,Dnipro Dnipropetrovsk (- 2020),2000s,Goalkeeper,2009/10-2015/16,>=100,0,ALLPLAYERS team players / Dnipro references,https://www.allplayers.in.ua/ua/team_players/3,Medium,Long-serving Dnipro goalkeeper; clear core-squad omission if absent from normalized game list.,Exact aggregate not visible in accessible snippet; spelling risk: Laštůvka / Lashtuvka.
Jan Lastuvka,jan lastuvka,Dnipro Dnipropetrovsk (- 2020),2010s,Goalkeeper,2009/10-2015/16,>=100,0,ALLPLAYERS team players / Dnipro references,https://www.allplayers.in.ua/ua/team_players/3,Medium,Long-serving Dnipro goalkeeper; clear core-squad omission if absent from normalized game list.,Exact aggregate not visible in accessible snippet; spelling risk: Laštůvka / Lashtuvka.
