missing_player_name,normalized_missing_player_name,club_name,decade,position,seasons_at_club,appearances,goals,source_name,source_url,confidence,reason_for_inclusion,notes
Dmytro Shutkov,dmytro shutkov,Shakhtar Donetsk,1990s,GK,1991-2008,266,0,ALLPLAYERS / FC Shakhtar official,https://www.allplayers.in.ua/ua/club/2 ; https://shakhtar.com/players/shakhtar-women/dmytro-shutkov,High,Shakhtar club-stat page lists Shutkov 266 league apps; club page states first-team career 1991-2008 and 347 matches all competitions.,Appearances/goals use ALLPLAYERS Ukrainian league total; Shakhtar official page gives broader all-competitions total.
Dmytro Shutkov,dmytro shutkov,Shakhtar Donetsk,2000s,GK,1991-2008,266,0,ALLPLAYERS / FC Shakhtar official,https://www.allplayers.in.ua/ua/club/2 ; https://shakhtar.com/players/shakhtar-women/dmytro-shutkov,High,Same missing player spans Shakhtar 2000s as well as 1990s; not present anywhere in supplied normalized list.,"Stats are aggregate at club level, not decade-split."
Serhiy Popov,serhiy popov,Shakhtar Donetsk,1990s,CB,1990s-2000s,238,40,ALLPLAYERS / FC Shakhtar official,https://www.allplayers.in.ua/ua/club/2 ; https://shakhtar.com/uk-ua/news/2021/april/22_news/22_popov_hb/,High,ALLPLAYERS lists Popov among Shakhtar top players with 238/40; Shakhtar official calls him a club legend and captain.,"Stats are aggregate at club level, not decade-split."
Serhiy Popov,serhiy popov,Shakhtar Donetsk,2000s,CB,1990s-2000s,238,40,ALLPLAYERS / FC Shakhtar official,https://www.allplayers.in.ua/ua/club/2 ; https://shakhtar.com/uk-ua/news/2021/april/22_news/22_popov_hb/,High,Same missing player spans Shakhtar 2000s; not present anywhere in supplied normalized list.,"Stats are aggregate at club level, not decade-split."
Oleksandr Horyainov,oleksandr horyainov,Metalist Kharkiv,1990s,GK,"1993-2016, with two breaks",427,0,ALLPLAYERS / FC Metalist official,https://www.allplayers.in.ua/ua/team_players/4 ; https://www.fcmetalist.com.ua/staff/193.html,High,ALLPLAYERS lists Horyainov as Metalist's top Ukrainian-league appearance maker; official Metalist page confirms long club career.,ALLPLAYERS total is league-only; official page says he played for Metalist from 1993 to 2016 with two interruptions.
Oleksandr Horyainov,oleksandr horyainov,Metalist Kharkiv,2000s,GK,"1993-2016, with two breaks",427,0,ALLPLAYERS / FC Metalist official,https://www.allplayers.in.ua/ua/team_players/4 ; https://www.fcmetalist.com.ua/staff/193.html,High,Same missing player spans Metalist 2000s; not present anywhere in supplied normalized list.,"Stats are aggregate at club level, not decade-split."
Oleksandr Horyainov,oleksandr horyainov,Metalist Kharkiv,2010s,GK,"1993-2016, with two breaks",427,0,ALLPLAYERS / FC Metalist official,https://www.allplayers.in.ua/ua/team_players/4 ; https://www.fcmetalist.com.ua/staff/193.html,High,Same missing player spans Metalist 2010s; not present anywhere in supplied normalized list.,"Stats are aggregate at club level, not decade-split."
Oleksandr Karabuta,oleksandr karabuta,Metalist Kharkiv,1990s,FW/MF,9 seasons,239,46,ALLPLAYERS / Wikipedia profile,https://www.allplayers.in.ua/ua/team_players/4 ; https://uk.wikipedia.org/wiki/Карабута_Олександр_Петрович,High,ALLPLAYERS lists Karabuta as Metalist's #2 player by league appearances among shown leaders and a major scorer.,"ALLPLAYERS gives 239/46 league total; Wikipedia cites 264 official matches and 51 goals, so league-only figure is used conservatively."
Oleksandr Chyzhevskyi,oleksandr chyzhevskyi,Karpaty Lviv,1990s,CB,"1989-1999, 2002",225,3,ALLPLAYERS / Football.ua profile article,https://www.allplayers.in.ua/ua/club/6 ; https://football.ua/top50uaplayers/article/90716-50-luchshykh-karpaty-chast-vtoraja.html,High,ALLPLAYERS lists Chyzhevskyi among Karpaty top players; he is absent from supplied normalized list.,ALLPLAYERS total is league-only for Karpaty; Football.ua gives broader historical Karpaty career context.
Oleksandr Chyzhevskyi,oleksandr chyzhevskyi,Karpaty Lviv,2000s,CB,"1989-1999, 2002",225,3,ALLPLAYERS / Football.ua profile article,https://www.allplayers.in.ua/ua/club/6 ; https://football.ua/top50uaplayers/article/90716-50-luchshykh-karpaty-chast-vtoraja.html,Medium,"Returned to Karpaty in 2002, so this maps to the club's 2000s decade entry.",Club aggregate stats; decade-split needs verification from season pages.
