missing_player_name,normalized_missing_player_name,club_name,decade,position,seasons_at_club,appearances,goals,source_name,source_url,confidence,reason_for_inclusion,notes
Oleksandr Shovkovskyi,oleksandr shovkovskyi,Dynamo Kyiv,1990s,GK,1993/94-2016/17,426,0,ALLPLAYERS team players / club page,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo record appearance holder; Ukraine national team goalkeeper; obvious club legend missing from current game list.,"ALLPLAYERS search snippets list him #1 for Dynamo Kyiv with 426/0 league record; totals are league-only aggregate, not decade-split."
Oleksandr Shovkovskyi,oleksandr shovkovskyi,Dynamo Kyiv,2000s,GK,1993/94-2016/17,426,0,ALLPLAYERS team players / club page,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo record appearance holder; Ukraine national team goalkeeper; obvious club legend missing from current game list.,"ALLPLAYERS search snippets list him #1 for Dynamo Kyiv with 426/0 league record; totals are league-only aggregate, not decade-split."
Oleksandr Shovkovskyi,oleksandr shovkovskyi,Dynamo Kyiv,2010s,GK,1993/94-2016/17,426,0,ALLPLAYERS team players / club page,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo record appearance holder; Ukraine national team goalkeeper; obvious club legend missing from current game list.,"ALLPLAYERS search snippets list him #1 for Dynamo Kyiv with 426/0 league record; totals are league-only aggregate, not decade-split."
Oleg Gusev,oleg gusev,Dynamo Kyiv,2000s,RM/RB,2003/04-2016/17,296,58,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/1,High,Top-2 Dynamo league appearance list in ALLPLAYERS; Ukraine national team player; long-term starter.,"ALLPLAYERS snippet lists Oleg Gusev 15 seasons, 296 matches, 58 goals for Dynamo Kyiv."
Oleg Gusev,oleg gusev,Dynamo Kyiv,2010s,RM/RB,2003/04-2016/17,296,58,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/1,High,Top-2 Dynamo league appearance list in ALLPLAYERS; Ukraine national team player; long-term starter.,"ALLPLAYERS snippet lists Oleg Gusev 15 seasons, 296 matches, 58 goals for Dynamo Kyiv."
Vladyslav Vashchuk,vladyslav vashchuk,Dynamo Kyiv,1990s,CB,1993/94-2002/03; 2005/06-2007/08,254,9,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/1,High,Top-3 Dynamo league appearance list; Ukraine national team defender; club trophy winner.,"ALLPLAYERS snippet lists Vashchuk 13 seasons, 254 matches, 9 goals for Dynamo Kyiv."
Vladyslav Vashchuk,vladyslav vashchuk,Dynamo Kyiv,2000s,CB,1993/94-2002/03; 2005/06-2007/08,254,9,ALLPLAYERS team players,https://www.allplayers.in.ua/ua/team_players/1,High,Top-3 Dynamo league appearance list; Ukraine national team defender; club trophy winner.,"ALLPLAYERS snippet lists Vashchuk 13 seasons, 254 matches, 9 goals for Dynamo Kyiv."
Serhiy Rebrov,serhiy rebrov,Dynamo Kyiv,1990s,FW/AM,1992/93-1999/00; 2005/06-2007/08,242,113,ALLPLAYERS club page / scorers,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo legend and one of club top scorers; Ukraine national team forward.,ALLPLAYERS club snippet lists Rebrov 242/113 for Dynamo; aggregate league-only total.
Serhiy Rebrov,serhiy rebrov,Dynamo Kyiv,2000s,FW/AM,1992/93-1999/00; 2005/06-2007/08,242,113,ALLPLAYERS club page / scorers,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo legend and one of club top scorers; Ukraine national team forward.,ALLPLAYERS club snippet lists Rebrov 242/113 for Dynamo; aggregate league-only total.
Andriy Nesmachnyi,andriy nesmachnyi,Dynamo Kyiv,1990s,LB,1997/98-2010/11,228,11,ALLPLAYERS club page,https://www.allplayers.in.ua/ua/team_players/1,High,"Long-term Dynamo left-back, Ukraine national team player; top appearance list.",ALLPLAYERS club snippet lists Nesmachnyi 228/11 for Dynamo; aggregate league-only total.
Andriy Nesmachnyi,andriy nesmachnyi,Dynamo Kyiv,2000s,LB,1997/98-2010/11,228,11,ALLPLAYERS club page,https://www.allplayers.in.ua/ua/team_players/1,High,"Long-term Dynamo left-back, Ukraine national team player; top appearance list.",ALLPLAYERS club snippet lists Nesmachnyi 228/11 for Dynamo; aggregate league-only total.
Andriy Nesmachnyi,andriy nesmachnyi,Dynamo Kyiv,2010s,LB,1997/98-2010/11,228,11,ALLPLAYERS club page,https://www.allplayers.in.ua/ua/team_players/1,High,"Long-term Dynamo left-back, Ukraine national team player; top appearance list.",ALLPLAYERS club snippet lists Nesmachnyi 228/11 for Dynamo; aggregate league-only total.
Valentyn Belkevych,valentyn belkevych,Dynamo Kyiv,1990s,AM/CM,1996/97-2007/08,incomplete,incomplete,ALLPLAYERS team players / Dynamo trophy lists,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo playmaker and club legend; Belarus national team player; regular starter in late-1990s/2000s Dynamo.,Stats not safely extracted in this pass; inclusion supported by Dynamo team list and trophy/squad references.
Valentyn Belkevych,valentyn belkevych,Dynamo Kyiv,2000s,AM/CM,1996/97-2007/08,incomplete,incomplete,ALLPLAYERS team players / Dynamo trophy lists,https://www.allplayers.in.ua/ua/team_players/1,High,Dynamo playmaker and club legend; Belarus national team player; regular starter in late-1990s/2000s Dynamo.,Stats not safely extracted in this pass; inclusion supported by Dynamo team list and trophy/squad references.
