player_name,club_name,decade,position,goals,assists,clean_sheets,minutes_played,seasons_count,source_urls,confidence,notes
Dmytro Shutkov,Shakhtar Donetsk,1990s,GK,0,,,,,https://www.allplayers.in.ua/ua/club/2 ; https://shakhtar.com/players/shakhtar-women/dmytro-shutkov,Medium,"Sourced club-total goals are 0, so decade aggregate goals are safely 0 even without a season split. No season-level source rows generated because exact season list was not available. Club spell text in baseline: 1991-2008."
Dmytro Shutkov,Shakhtar Donetsk,2000s,GK,0,,,,,https://www.allplayers.in.ua/ua/club/2 ; https://shakhtar.com/players/shakhtar-women/dmytro-shutkov,Medium,"Sourced club-total goals are 0, so decade aggregate goals are safely 0 even without a season split. No season-level source rows generated because exact season list was not available. Club spell text in baseline: 1991-2008."
Serhiy Popov,Shakhtar Donetsk,1990s,CB,,,,,,https://www.allplayers.in.ua/ua/club/2 ; https://shakhtar.com/uk-ua/news/2021/april/22_news/22_popov_hb/,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Serhiy Popov,Shakhtar Donetsk,2000s,CB,,,,,,https://www.allplayers.in.ua/ua/club/2 ; https://shakhtar.com/uk-ua/news/2021/april/22_news/22_popov_hb/,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Oleksandr Horyainov,Metalist Kharkiv,1990s,GK,0,,,,,https://www.allplayers.in.ua/ua/team_players/4 ; https://www.fcmetalist.com.ua/staff/193.html,Medium,"Sourced club-total goals are 0, so decade aggregate goals are safely 0 even without a season split. No season-level source rows generated because exact season list was not available. Club spell text in baseline: 1993-2016, with two breaks."
Oleksandr Horyainov,Metalist Kharkiv,2000s,GK,0,,,,,https://www.allplayers.in.ua/ua/team_players/4 ; https://www.fcmetalist.com.ua/staff/193.html,Medium,"Sourced club-total goals are 0, so decade aggregate goals are safely 0 even without a season split. No season-level source rows generated because exact season list was not available. Club spell text in baseline: 1993-2016, with two breaks."
Oleksandr Horyainov,Metalist Kharkiv,2010s,GK,0,,,,,https://www.allplayers.in.ua/ua/team_players/4 ; https://www.fcmetalist.com.ua/staff/193.html,Medium,"Sourced club-total goals are 0, so decade aggregate goals are safely 0 even without a season split. No season-level source rows generated because exact season list was not available. Club spell text in baseline: 1993-2016, with two breaks."
Oleksandr Karabuta,Metalist Kharkiv,1990s,FW/MF,,,,,,https://www.allplayers.in.ua/ua/team_players/4 ; https://uk.wikipedia.org/wiki/Карабута_Олександр_Петрович,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 9 seasons.
Oleksandr Chyzhevskyi,Karpaty Lviv,1990s,CB,,,,,,https://www.allplayers.in.ua/ua/club/6 ; https://football.ua/top50uaplayers/article/90716-50-luchshykh-karpaty-chast-vtoraja.html,Medium,"Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1989-1999, 2002."
Oleksandr Chyzhevskyi,Karpaty Lviv,2000s,CB,,,,,,https://www.allplayers.in.ua/ua/club/6 ; https://football.ua/top50uaplayers/article/90716-50-luchshykh-karpaty-chast-vtoraja.html,Low,"Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1989-1999, 2002."
Oleh Holodyuk,Karpaty Lviv,2000s,CM,,,,,,https://www.allplayers.in.ua/ua/club/6 ; https://www.allplayers.in.ua/ua/team_squad/6/2013-2014,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 2000s-2010s.
Oleh Holodyuk,Karpaty Lviv,2010s,CM,,,,,,https://www.allplayers.in.ua/ua/club/6 ; https://www.allplayers.in.ua/ua/team_squad/6/2013-2014,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 2000s-2010s.
Oleksandr Gaydash,Tavriya Simferopol,1990s,FW,,,,,,https://www.allplayers.in.ua/ua/club/7 ; https://www.transfermarkt.com/oleksandr-gaydash/profil/spieler/183435,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1990s-2000s.
Yuriy Gudymenko,Tavriya Simferopol,1990s,FW,,,,,,https://www.allplayers.in.ua/ua/player/587 ; https://www.klisf.net/gamer450.htm,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992-1993.
Serhiy Shevchenko,Tavriya Simferopol,1990s,FW,,,,,,https://en.wikipedia.org/wiki/1992_SC_Tavriya_Simferopol_season ; https://www.allplayers.in.ua/ru/match/13582,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992 season / early 1990s.
Tolyat Sheykhametov,Tavriya Simferopol,1990s,FW,,,,,,https://www.transfermarkt.com/sk-tavriya-simferopol/startseite/verein/2227/saison_id/1992 ; https://www.allplayers.in.ua/ru/match/13582,Low,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992-1993.
Sergey Polstyanov,Tavriya Simferopol,1990s,FW,1,,,,1,https://www.transfermarkt.com/sk-tavriya-simferopol/startseite/verein/2227/saison_id/1992 ; https://www.allplayers.in.ua/ua/club_legioner/7,Medium,Generated season scaffold from exact club spell 1992/93; only safe numeric stats were aggregated. Blank cells mean season-level values were not reliably found.
Oleksandr Holovko,Tavriya Simferopol,1990s,CB,,,,,,https://en.wikipedia.org/wiki/1992_SC_Tavriya_Simferopol_season ; https://www.allplayers.in.ua/ua/eurocup_table_history/7,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1992 season / early 1990s.
Valentyn Platonov,Kryvbas Kryvyi Rig,1990s,MF/DF,,,,,,https://www.allplayers.in.ua/ua/team_players/10 ; https://fckryvbas.com/post/valentin-platonov-krivbasu-bude-vazhko-adzhe-viktoriya-dosvidchenii-yevropeiskii-boyec,Medium,Could not reconstruct season-by-season statistics from supplied evidence. Source verifies candidate/club context or aggregate spell only; all unsafe numeric stats left blank. Club spell text in baseline: 1996-2004.
