club_decade_id,team_name,decade,canonical_name,kept_player_id,kept_original_name,removed_player_id,removed_name,kept_rating,removed_rating,rating_decision,preserved_fields,merge_reason
2477_karpaty_lviv_2000s,Karpaty Lviv,2000s,Ihor Khudobiak,58042,Igor Khudobyak,8717675,Ihor Khudobyak,88.5,69.6,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
2477_karpaty_lviv_2000s,Karpaty Lviv,2000s,Oleh Holodyuk,58016,Oleg Golodyuk,8161802,Oleh Holodyuk,76.0,63.1,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
2477_karpaty_lviv_2010s,Karpaty Lviv,2010s,Ihor Khudobiak,58042,Igor Khudobyak,8717675,Ihor Khudobyak,91.7,80.1,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
2477_karpaty_lviv_2010s,Karpaty Lviv,2010s,Oleh Holodyuk,58016,Oleg Golodyuk,8161802,Oleh Holodyuk,85.6,69.4,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
2740_vorskla_poltava_2000s,Vorskla Poltava,2000s,Serhiy Dolhanskyi,24004,Sergiy Dolganskyi,8986233,Serhiy Dolhanskyi,83.8,81.2,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
2740_vorskla_poltava_2010s,Vorskla Poltava,2010s,Serhiy Dolhanskyi,24004,Sergiy Dolganskyi,8986233,Serhiy Dolhanskyi,76.3,75.6,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
3593_borysfen_boryspil__2007_2000s,Borysfen Boryspil (- 2007),2000s,Roman Lytovchak,95691,Roman Litovchak,8918748,Roman Lytovchak,68.6,68.6,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
60551_sc_dnipro_1_2010s,SC Dnipro-1,2010s,Ihor Kohut,448868,Igor Kogut,8786524,Ihor Kohut,72.9,68.6,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
60551_sc_dnipro_1_2020s,SC Dnipro-1,2020s,Ihor Kohut,448868,Igor Kogut,8786524,Ihor Kohut,83.7,81.4,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
6414_metalist_kharkiv_1990s,Metalist Kharkiv,1990s,Oleksandr Horyainov,42631,Oleksandr Goryainov,8088274,Oleksandr Horyainov,77.2,64.4,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
6414_metalist_kharkiv_2000s,Metalist Kharkiv,2000s,Oleksandr Horyainov,42631,Oleksandr Goryainov,8088274,Oleksandr Horyainov,89.5,61.2,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
6414_metalist_kharkiv_2000s,Metalist Kharkiv,2000s,Serhiy Valyayev,24061,Sergiy Valyaev,8183704,Serhiy Valyayev,84.2,84.9,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
6414_metalist_kharkiv_2010s,Metalist Kharkiv,2010s,Oleksandr Horyainov,42631,Oleksandr Goryainov,8088274,Oleksandr Horyainov,79.8,59.4,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
6414_metalist_kharkiv_2010s,Metalist Kharkiv,2010s,Serhiy Valyayev,24061,Sergiy Valyaev,8183704,Serhiy Valyayev,67.4,78.6,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
6992_chornomorets_odesa_2010s,Chornomorets Odesa,2010s,Oleksiy Hai,44361,Oleksiy Gay,8691785,Oleksiy Hai,77.7,73.3,Kept the better-supported record rating; it has more populated source statistics.,,Explicitly reviewed transliteration identity in the same club-decade with compatible positions.
