decision,confidence,club_decade_id,team_name,decade,name_a,player_id_a,position_a,rating_a,name_b,player_id_b,position_b,rating_b,normalized_a,normalized_b,transliteration_key_a,transliteration_key_b,similarity,levenshtein_distance,detection_reason
auto_fix,high,2477_karpaty_lviv_2000s,Karpaty Lviv,2000s,Igor Khudobyak,58042,Midfield - Central Midfield,88.5,Ihor Khudobyak,8717675,Midfield - Attacking Midfield,69.6,igor khudobyak,ihor khudobyak,ihorhudobiak,ihorhudobiak,1.000,0,same transliteration key
auto_fix,high,2477_karpaty_lviv_2000s,Karpaty Lviv,2000s,Oleg Golodyuk,58016,Midfield - Central Midfield,76.0,Oleh Holodyuk,8161802,Midfield - Central Midfield,63.1,oleg golodyuk,oleh holodyuk,olehholodiuk,olehholodiuk,1.000,0,same transliteration key
auto_fix,high,2477_karpaty_lviv_2010s,Karpaty Lviv,2010s,Igor Khudobyak,58042,Midfield - Central Midfield,91.7,Ihor Khudobyak,8717675,Midfield - Attacking Midfield,80.1,igor khudobyak,ihor khudobyak,ihorhudobiak,ihorhudobiak,1.000,0,same transliteration key
auto_fix,high,2477_karpaty_lviv_2010s,Karpaty Lviv,2010s,Oleg Golodyuk,58016,Midfield - Central Midfield,85.6,Oleh Holodyuk,8161802,Midfield - Central Midfield,69.4,oleg golodyuk,oleh holodyuk,olehholodiuk,olehholodiuk,1.000,0,same transliteration key
auto_fix,high,2740_vorskla_poltava_2000s,Vorskla Poltava,2000s,Sergiy Dolganskyi,24004,Goalkeeper,83.8,Serhiy Dolhanskyi,8986233,Goalkeeper,81.2,sergiy dolganskyi,serhiy dolhanskyi,serhidolhanski,serhidolhanski,1.000,0,same transliteration key
auto_fix,high,2740_vorskla_poltava_2010s,Vorskla Poltava,2010s,Sergiy Dolganskyi,24004,Goalkeeper,76.3,Serhiy Dolhanskyi,8986233,Goalkeeper,75.6,sergiy dolganskyi,serhiy dolhanskyi,serhidolhanski,serhidolhanski,1.000,0,same transliteration key
auto_fix,high,3593_borysfen_boryspil__2007_2000s,Borysfen Boryspil (- 2007),2000s,Roman Litovchak,95691,Midfield,68.6,Roman Lytovchak,8918748,Midfield - Central Midfield,68.6,roman litovchak,roman lytovchak,romanlitovchak,romanlitovchak,1.000,0,same transliteration key
auto_fix,high,60551_sc_dnipro_1_2010s,SC Dnipro-1,2010s,Igor Kogut,448868,Midfield - Central Midfield,72.9,Ihor Kohut,8786524,Midfield - Central Midfield,68.6,igor kogut,ihor kohut,ihorkohut,ihorkohut,1.000,0,same transliteration key
auto_fix,high,60551_sc_dnipro_1_2020s,SC Dnipro-1,2020s,Igor Kogut,448868,Midfield - Central Midfield,83.7,Ihor Kohut,8786524,Midfield - Central Midfield,81.4,igor kogut,ihor kohut,ihorkohut,ihorkohut,1.000,0,same transliteration key
auto_fix,high,6414_metalist_kharkiv_1990s,Metalist Kharkiv,1990s,Oleksandr Goryainov,42631,Goalkeeper,77.2,Oleksandr Horyainov,8088274,Goalkeeper,64.4,oleksandr goryainov,oleksandr horyainov,oleksandrhoriainov,oleksandrhoriainov,1.000,0,same transliteration key
auto_fix,high,6414_metalist_kharkiv_2000s,Metalist Kharkiv,2000s,Oleksandr Goryainov,42631,Goalkeeper,89.5,Oleksandr Horyainov,8088274,Goalkeeper,61.2,oleksandr goryainov,oleksandr horyainov,oleksandrhoriainov,oleksandrhoriainov,1.000,0,same transliteration key
auto_fix,high,6414_metalist_kharkiv_2000s,Metalist Kharkiv,2000s,Sergiy Valyaev,24061,Midfield - Central Midfield,84.2,Serhiy Valyayev,8183704,Midfield - Central Midfield,84.9,sergiy valyaev,serhiy valyayev,serhivaliaev,serhivaliaiev,0.960,1,fuzzy similarity >= 0.82
auto_fix,high,6414_metalist_kharkiv_2010s,Metalist Kharkiv,2010s,Oleksandr Goryainov,42631,Goalkeeper,79.8,Oleksandr Horyainov,8088274,Goalkeeper,59.4,oleksandr goryainov,oleksandr horyainov,oleksandrhoriainov,oleksandrhoriainov,1.000,0,same transliteration key
auto_fix,high,6414_metalist_kharkiv_2010s,Metalist Kharkiv,2010s,Sergiy Valyaev,24061,Midfield - Central Midfield,67.4,Serhiy Valyayev,8183704,Midfield - Central Midfield,78.6,sergiy valyaev,serhiy valyayev,serhivaliaev,serhivaliaiev,0.960,1,fuzzy similarity >= 0.82
auto_fix,high,6992_chornomorets_odesa_2010s,Chornomorets Odesa,2010s,Oleksiy Gay,44361,Midfield - Central Midfield,77.7,Oleksiy Hai,8691785,Midfield - Central Midfield,73.3,oleksiy gay,oleksiy hai,oleksihai,oleksihai,1.000,0,same transliteration key
manual_review,low,2740_vorskla_poltava_2020s,Vorskla Poltava,2020s,Vladyslav Kulach,167556,Attack - Centre-Forward,83.9,Vladyslav Vakula,526578,Attack - Left Winger,51.2,vladyslav kulach,vladyslav vakula,vladislavkulach,vladislavvakula,0.867,4,fuzzy similarity >= 0.82
manual_review,low,2783_metalurg_donetsk__2015_2000s,Metalurg Donetsk (- 2015),2000s,Volodymyr Ponomarenko,92466,Midfield - Right Midfield,72.6,Volodymyr Romanenko,25869,Midfield - Defensive Midfield,51.2,volodymyr ponomarenko,volodymyr romanenko,volodimirponomarenko,volodimirromanenko,0.842,4,fuzzy similarity >= 0.82
manual_review,low,339_dnipro_dnipropetrovsk__2020_2010s,Dnipro Dnipropetrovsk (- 2020),2010s,Yevgen Cheberko,343153,Defender - Centre-Back,70.7,Yevhen Cheberyachko,8417697,Defender - Centre-Back,64.6,yevgen cheberko,yevhen cheberyachko,ievhencheberko,ievhencheberiachko,0.875,4,fuzzy similarity >= 0.82
manual_review,low,3592_kryvbas_kryvyi_rig_2000s,Kryvbas Kryvyi Rig,2000s,Oleksandr Zhdanov,82636,Defender - Centre-Back,51.2,Oleksandr Granovskyi,8657778,Defender - Centre-Back,59.1,oleksandr zhdanov,oleksandr granovskyi,oleksandrzhdanov,oleksandrhranovski,0.824,5,fuzzy similarity >= 0.82
manual_review,low,660_shakhtar_donetsk_2010s,Shakhtar Donetsk,2010s,Fernandinho,26267,Midfield - Defensive Midfield,87.6,Fernando,105456,Midfield - Defensive Midfield,67.9,fernandinho,fernando,fernandinho,fernando,0.842,3,fuzzy similarity >= 0.82
manual_review,low,660_shakhtar_donetsk_2010s,Shakhtar Donetsk,2010s,Valeriy Bondar,396394,Defender - Centre-Back,64.6,Valeriy Bondarenko,365540,Defender - Centre-Back,51.2,valeriy bondar,valeriy bondarenko,valeribondar,valeribondarenko,0.857,4,fuzzy similarity >= 0.82
manual_review,low,6992_chornomorets_odesa_2020s,Chornomorets Odesa,2020s,Vladyslav Vanat,631821,Attack - Centre-Forward,71.1,Vladyslav Vakula,526578,Attack - Left Winger,51.2,vladyslav vanat,vladyslav vakula,vladislavvanat,vladislavvakula,0.828,4,fuzzy similarity >= 0.82
manual_review,low,6992_chornomorets_odesa_2020s,Chornomorets Odesa,2020s,Yaroslav Rakitskyi,89222,Defender - Centre-Back,60.4,Yaroslav Kysil,1038054,Defender - Left-Back,51.2,yaroslav rakitskyi,yaroslav kysil,iaroslavrakitski,iaroslavkisil,0.828,5,fuzzy similarity >= 0.82
manual_review,low,9007_arsenal_kyiv__2019_2000s,Arsenal Kyiv ( -2019),2000s,Yevgen Shakhov,58970,Midfield - Central Midfield,61.9,Yevgeniy Shmakov,58251,Midfield - Defensive Midfield,60.4,yevgen shakhov,yevgeniy shmakov,ievhenshahov,ievhenishmakov,0.846,3,fuzzy similarity >= 0.82
