bucket,strength,definition,id,title_ua,title_en,competition,count,frequency,frequency_percent
weak,51.2,15th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,61507,0.61507,61.507
weak,51.2,15th percentile effective/global player rating from current generated player data,20,СаШо,SaSho,Cup,9592,0.09592,9.592
weak,51.2,15th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,28,На класі,Pure Class,Cup,1,0.00001,0.001
weak,51.2,15th percentile effective/global player rating from current generated player data,29,Нерви зі сталі,Nerves of Steel,Cup,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,30,Завдання провалено успішно,Task Failed Successfully,Cup,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,35,Автобус припарковано,Bus Parked,Both,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,56,Лото «Забава»,The Lottery,Cup,1,0.00001,0.001
weak,51.2,15th percentile effective/global player rating from current generated player data,57,На 120-й,In the 120th,Cup,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,58,"Пливли-пливли, а на березі...",Ch-ch-ch-choke Me!,Cup,41,0.00041,0.041
weak,51.2,15th percentile effective/global player rating from current generated player data,60,На мінімалках,Bare Minimum,Cup,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,74,День бабака,Groundhog Day,Cup,154,0.00154,0.154
weak,51.2,15th percentile effective/global player rating from current generated player data,82,Ковалівка в Європі,Kovalivka in Europe,Both,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,34826,0.34826,34.826
average,63.6,50th percentile effective/global player rating from current generated player data,20,СаШо,SaSho,Cup,16371,0.16371,16.371
average,63.6,50th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,7,0.00007,0.006999999999999999
average,63.6,50th percentile effective/global player rating from current generated player data,28,На класі,Pure Class,Cup,55,0.00055,0.055
