bucket,strength,definition,id,title_ua,title_en,competition,count,frequency,frequency_percent
weak,51.2,15th percentile effective/global player rating from current generated player data,12,Перед каждою ігрою!..,Before Every Game!..,League,91515,0.91515,91.515
weak,51.2,15th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,94116,0.94116,94.116
weak,51.2,15th percentile effective/global player rating from current generated player data,23,Непереможні,Invincibles,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,24,Безкомпромісні,No Compromises,League,45,0.00045,0.045
weak,51.2,15th percentile effective/global player rating from current generated player data,25,Ідеально збалансовано,Perfectly Balanced,League,3,0.00003,0.003
weak,51.2,15th percentile effective/global player rating from current generated player data,26,Потужно,Powerful Stuff,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,35,Автобус припарковано,Bus Parked,Both,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,857,0.00857,0.857
weak,51.2,15th percentile effective/global player rating from current generated player data,51,Нічия влаштовує,A Draw Will Do,League,61,0.00061,0.061
weak,51.2,15th percentile effective/global player rating from current generated player data,52,"Маємо те, що маємо",It Is What It Is,League,2,0.00002,0.002
weak,51.2,15th percentile effective/global player rating from current generated player data,53,На тоненького,By a Thread,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,54,Бавовна,Bavovna,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,55,Захист для слабаків,Defense Optional,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,93,Це нормально,This Is Fine,League,43,0.00043,0.043
average,63.6,50th percentile effective/global player rating from current generated player data,12,Перед каждою ігрою!..,Before Every Game!..,League,11251,0.11251,11.251
average,63.6,50th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,9484,0.09484,9.484
average,63.6,50th percentile effective/global player rating from current generated player data,23,Непереможні,Invincibles,League,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,24,Безкомпромісні,No Compromises,League,13,0.00013,0.013
average,63.6,50th percentile effective/global player rating from current generated player data,25,Ідеально збалансовано,Perfectly Balanced,League,1639,0.01639,1.6389999999999998
average,63.6,50th percentile effective/global player rating from current generated player data,26,Потужно,Powerful Stuff,League,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,1,0.00001,0.001
average,63.6,50th percentile effective/global player rating from current generated player data,31,Я так бачу,Trust My Eyes,Both,72,0.00072,0.07200000000000001
average,63.6,50th percentile effective/global player rating from current generated player data,35,Автобус припарковано,Bus Parked,Both,4,0.00004,0.004
average,63.6,50th percentile effective/global player rating from current generated player data,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,2,0.00002,0.002
average,63.6,50th percentile effective/global player rating from current generated player data,51,Нічия влаштовує,A Draw Will Do,League,405,0.00405,0.40499999999999997
average,63.6,50th percentile effective/global player rating from current generated player data,52,"Маємо те, що маємо",It Is What It Is,League,3866,0.03866,3.866
average,63.6,50th percentile effective/global player rating from current generated player data,53,На тоненького,By a Thread,League,1,0.00001,0.001
average,63.6,50th percentile effective/global player rating from current generated player data,54,Бавовна,Bavovna,League,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,55,Захист для слабаків,Defense Optional,League,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,75,Стара школа,Old School,Both,72,0.00072,0.07200000000000001
average,63.6,50th percentile effective/global player rating from current generated player data,93,Це нормально,This Is Fine,League,35,0.00035,0.034999999999999996
strong,74.3,80th percentile effective/global player rating from current generated player data,12,Перед каждою ігрою!..,Before Every Game!..,League,9,0.00009,0.009000000000000001
strong,74.3,80th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,7,0.00007,0.006999999999999999
strong,74.3,80th percentile effective/global player rating from current generated player data,23,Непереможні,Invincibles,League,16,0.00016,0.016
strong,74.3,80th percentile effective/global player rating from current generated player data,24,Безкомпромісні,No Compromises,League,18,0.00018,0.018000000000000002
strong,74.3,80th percentile effective/global player rating from current generated player data,25,Ідеально збалансовано,Perfectly Balanced,League,229,0.00229,0.22899999999999998
strong,74.3,80th percentile effective/global player rating from current generated player data,26,Потужно,Powerful Stuff,League,0,0,0
strong,74.3,80th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,463,0.00463,0.46299999999999997
