scope,runs,id,title_ua,title_en,competition,count,frequency,frequency_percent
overall,120000,1,Кєнти,Kents,Both,0,0,0
overall,120000,2,Файне місто,Faine Misto,Both,502,0.004183333333333333,0.41833333333333333
overall,120000,3,Третя сила,The Third Force,Both,204,0.0017,0.16999999999999998
overall,120000,4,Мрія Луческу,Lucescu’s Dream,Both,0,0,0
overall,120000,5,Іноземний легіон,Foreign Legion,Both,0,0,0
overall,120000,6,Слава Україні!,Slava Ukraini!,Both,12018,0.10015,10.015
overall,120000,7,Донбас порожняк не гонить,Donbas Delivers,Both,20,0.00016666666666666666,0.016666666666666666
overall,120000,8,Крим — це Україна!,Crimea Is Ukraine!,Both,1414,0.011783333333333333,1.1783333333333332
overall,120000,9,Кубок Львову!,Cup to Lviv!,Cup,92,0.0007666666666666667,0.07666666666666667
overall,120000,10,Зрада,Zrada,Both,64508,0.5375666666666666,53.75666666666666
overall,120000,11,За Вами виїхала СБУ,SBU Is Coming for You,Both,19950,0.16625,16.625
overall,120000,12,Перед каждою ігрою!..,Before Every Game!..,League,10464,0.0872,8.72
overall,120000,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,31082,0.2590166666666667,25.901666666666667
overall,120000,14,Перші назавжди,First Forever,League,26,0.00021666666666666666,0.021666666666666667
overall,120000,15,Весна 1999,Spring 1999,Both,12,0.0001,0.01
overall,120000,16,Стамбул 2009,Istanbul 2009,Cup,4,0.000033333333333333335,0.0033333333333333335
overall,120000,17,Варшава 2015,Warsaw 2015,Cup,4,0.000033333333333333335,0.0033333333333333335
overall,120000,18,Ударна пара,Strike Partnership,Both,0,0,0
overall,120000,19,Золотий м’яч,Ballon d’Or,Both,10,0.00008333333333333333,0.008333333333333333
overall,120000,20,СаШо,SaSho,Cup,42,0.00035,0.034999999999999996
overall,120000,21,Німеччина 2006,Germany 2006,Both,0,0,0
overall,120000,22,Перший Кубок,The First Cup,Cup,2,0.000016666666666666667,0.0016666666666666668
overall,120000,23,Непереможні,Invincibles,League,0,0,0
overall,120000,24,Безкомпромісні,No Compromises,League,12,0.0001,0.01
overall,120000,25,Ідеально збалансовано,Perfectly Balanced,League,822,0.00685,0.685
overall,120000,26,Потужно,Powerful Stuff,League,0,0,0
overall,120000,27,Сухий закон,Prohibition,Both,10,0.00008333333333333333,0.008333333333333333
overall,120000,28,На класі,Pure Class,Cup,36,0.0003,0.03
overall,120000,29,Нерви зі сталі,Nerves of Steel,Cup,58,0.00048333333333333334,0.04833333333333333
overall,120000,30,Завдання провалено успішно,Task Failed Successfully,Cup,0,0,0
overall,120000,31,Я так бачу,Trust My Eyes,Both,319,0.0026583333333333333,0.2658333333333333
overall,120000,32,Монобільшість,Single-Party Majority,Both,0,0,0
overall,120000,33,Коаліція,Coalition,Both,24072,0.2006,20.06
overall,120000,34,Три мушкетери,The Three Musketeers,Both,36,0.0003,0.03
overall,120000,35,Автобус припарковано,Bus Parked,Both,30,0.00025,0.025
overall,120000,36,"Гдє «Дінамо», гдє?",Where TF “Dynamo” at?,Both,8,0.00006666666666666667,0.006666666666666667
overall,120000,37,На благо города і всєх харьковчан,For the Good of Kharkiv and All of the Citizens,Both,6,0.00005,0.005
overall,120000,38,Ящик горілки,A Crate of Vodka,Both,218,0.0018166666666666667,0.18166666666666667
overall,120000,39,Полтавська битва,Battle of Poltava,Cup,30,0.00025,0.025
overall,120000,40,Дніпровський тандем,Dnipro Tandem,Both,28,0.00023333333333333333,0.023333333333333334
overall,120000,41,Серце «Шахтаря»,Heart of Shakhtar,Both,2,0.000016666666666666667,0.0016666666666666668
overall,120000,42,Бразильський трикутник,Brazilian Triangle,Both,0,0,0
overall,120000,43,Слава нації,"Good Evening, We Are from Ukraine",Both,24,0.0002,0.02
overall,120000,44,ООН,United Nations,Both,52,0.0004333333333333333,0.043333333333333335
overall,120000,45,Балканський експрес,Balkan Express,Both,4,0.000033333333333333335,0.0033333333333333335
overall,120000,46,Латиноамериканський квартал,Latin Quarter,Both,2,0.000016666666666666667,0.0016666666666666668
overall,120000,47,Різні епохи. Один склад.,Different Eras. One Squad.,Both,25470,0.21225,21.224999999999998
overall,120000,48,Жити по-новому,Living a New Way,Both,6848,0.05706666666666667,5.706666666666667
overall,120000,49,Назад у 90-ті,Back to the ’90s,Both,856,0.0071333333333333335,0.7133333333333334
overall,120000,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,2,0.000016666666666666667,0.0016666666666666668
overall,120000,51,Нічия влаштовує,A Draw Will Do,League,248,0.0020666666666666667,0.20666666666666667
overall,120000,52,"Маємо те, що маємо",It Is What It Is,League,1898,0.015816666666666666,1.5816666666666666
overall,120000,53,На тоненького,By a Thread,League,0,0,0
overall,120000,54,Бавовна,Bavovna,League,0,0,0
overall,120000,55,Захист для слабаків,Defense Optional,League,46,0.00038333333333333334,0.03833333333333334
overall,120000,56,Лото «Забава»,The Lottery,Cup,76,0.0006333333333333333,0.06333333333333332
overall,120000,57,На 120-й,In the 120th,Cup,18,0.00015,0.015
