bucket,strength,definition,id,title_ua,title_en,competition,count,frequency,frequency_percent
weak,51.2,15th percentile effective/global player rating from current generated player data,12,Перед каждою ігрою!..,Before Every Game!..,League,9146,0.9146,91.46
weak,51.2,15th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,9446,0.9446,94.46
weak,51.2,15th percentile effective/global player rating from current generated player data,23,Непереможні,Invincibles,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,24,Безкомпромісні,No Compromises,League,9,0.0009,0.09
weak,51.2,15th percentile effective/global player rating from current generated player data,25,Ідеально збалансовано,Perfectly Balanced,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,26,Потужно,Powerful Stuff,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,35,Автобус припарковано,Bus Parked,Both,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,79,0.0079,0.79
weak,51.2,15th percentile effective/global player rating from current generated player data,51,Нічия влаштовує,A Draw Will Do,League,8,0.0008,0.08
weak,51.2,15th percentile effective/global player rating from current generated player data,52,"Маємо те, що маємо",It Is What It Is,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,53,На тоненького,By a Thread,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,54,Бавовна,Bavovna,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,55,Захист для слабаків,Defense Optional,League,0,0,0
weak,51.2,15th percentile effective/global player rating from current generated player data,93,Це нормально,This Is Fine,League,7,0.0007,0.06999999999999999
average,63.6,50th percentile effective/global player rating from current generated player data,12,Перед каждою ігрою!..,Before Every Game!..,League,1149,0.1149,11.49
average,63.6,50th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,962,0.0962,9.62
average,63.6,50th percentile effective/global player rating from current generated player data,23,Непереможні,Invincibles,League,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,24,Безкомпромісні,No Compromises,League,1,0.0001,0.01
average,63.6,50th percentile effective/global player rating from current generated player data,25,Ідеально збалансовано,Perfectly Balanced,League,134,0.0134,1.34
average,63.6,50th percentile effective/global player rating from current generated player data,26,Потужно,Powerful Stuff,League,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,31,Я так бачу,Trust My Eyes,Both,2,0.0002,0.02
average,63.6,50th percentile effective/global player rating from current generated player data,35,Автобус припарковано,Bus Parked,Both,1,0.0001,0.01
average,63.6,50th percentile effective/global player rating from current generated player data,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,51,Нічия влаштовує,A Draw Will Do,League,36,0.0036,0.36
average,63.6,50th percentile effective/global player rating from current generated player data,52,"Маємо те, що маємо",It Is What It Is,League,381,0.0381,3.81
average,63.6,50th percentile effective/global player rating from current generated player data,53,На тоненького,By a Thread,League,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,54,Бавовна,Bavovna,League,0,0,0
average,63.6,50th percentile effective/global player rating from current generated player data,55,Захист для слабаків,Defense Optional,League,2,0.0002,0.02
average,63.6,50th percentile effective/global player rating from current generated player data,75,Стара школа,Old School,Both,2,0.0002,0.02
average,63.6,50th percentile effective/global player rating from current generated player data,93,Це нормально,This Is Fine,League,4,0.0004,0.04
strong,74.3,80th percentile effective/global player rating from current generated player data,12,Перед каждою ігрою!..,Before Every Game!..,League,0,0,0
strong,74.3,80th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,1,0.0001,0.01
strong,74.3,80th percentile effective/global player rating from current generated player data,23,Непереможні,Invincibles,League,0,0,0
strong,74.3,80th percentile effective/global player rating from current generated player data,24,Безкомпромісні,No Compromises,League,1,0.0001,0.01
strong,74.3,80th percentile effective/global player rating from current generated player data,25,Ідеально збалансовано,Perfectly Balanced,League,17,0.0017,0.16999999999999998
strong,74.3,80th percentile effective/global player rating from current generated player data,26,Потужно,Powerful Stuff,League,0,0,0
strong,74.3,80th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,48,0.0048,0.48
strong,74.3,80th percentile effective/global player rating from current generated player data,31,Я так бачу,Trust My Eyes,Both,2317,0.2317,23.169999999999998
strong,74.3,80th percentile effective/global player rating from current generated player data,35,Автобус припарковано,Bus Parked,Both,434,0.0434,4.34
strong,74.3,80th percentile effective/global player rating from current generated player data,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,0,0,0
strong,74.3,80th percentile effective/global player rating from current generated player data,51,Нічия влаштовує,A Draw Will Do,League,12,0.0012,0.12
strong,74.3,80th percentile effective/global player rating from current generated player data,52,"Маємо те, що маємо",It Is What It Is,League,31,0.0031,0.31
strong,74.3,80th percentile effective/global player rating from current generated player data,53,На тоненького,By a Thread,League,0,0,0
strong,74.3,80th percentile effective/global player rating from current generated player data,54,Бавовна,Bavovna,League,4,0.0004,0.04
strong,74.3,80th percentile effective/global player rating from current generated player data,55,Захист для слабаків,Defense Optional,League,39,0.0039,0.38999999999999996
strong,74.3,80th percentile effective/global player rating from current generated player data,75,Стара школа,Old School,Both,2317,0.2317,23.169999999999998
strong,74.3,80th percentile effective/global player rating from current generated player data,93,Це нормально,This Is Fine,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,12,Перед каждою ігрою!..,Before Every Game!..,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,13,"Здається, Бог наказує нас за щось","Apparently, God Punishes Us",Both,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,23,Непереможні,Invincibles,League,275,0.0275,2.75
elite,84.6,95th percentile effective/global player rating from current generated player data,24,Безкомпромісні,No Compromises,League,21,0.0021,0.21
elite,84.6,95th percentile effective/global player rating from current generated player data,25,Ідеально збалансовано,Perfectly Balanced,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,26,Потужно,Powerful Stuff,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,27,Сухий закон,Prohibition,Both,2662,0.2662,26.619999999999997
elite,84.6,95th percentile effective/global player rating from current generated player data,31,Я так бачу,Trust My Eyes,Both,9399,0.9399,93.99
elite,84.6,95th percentile effective/global player rating from current generated player data,35,Автобус припарковано,Bus Parked,Both,6876,0.6876,68.76
elite,84.6,95th percentile effective/global player rating from current generated player data,50,Пропало все. Господи допоможи,Everything Is Lost. God Save Us All,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,51,Нічия влаштовує,A Draw Will Do,League,2,0.0002,0.02
elite,84.6,95th percentile effective/global player rating from current generated player data,52,"Маємо те, що маємо",It Is What It Is,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,53,На тоненького,By a Thread,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,54,Бавовна,Bavovna,League,401,0.0401,4.01
elite,84.6,95th percentile effective/global player rating from current generated player data,55,Захист для слабаків,Defense Optional,League,0,0,0
elite,84.6,95th percentile effective/global player rating from current generated player data,75,Стара школа,Old School,Both,9399,0.9399,93.99
elite,84.6,95th percentile effective/global player rating from current generated player data,93,Це нормально,This Is Fine,League,0,0,0
