section,bucket,strength,threshold,goals_for_threshold,goals_against_threshold,alternative,scope,runs,metric,count,frequency,frequency_percent,maximum_goals_for,maximum_goals_against,p90_goals_for,p95_goals_for,p99_goals_for,p999_goals_for,sample_count
bavovna,weak,51.2,65,,,,,,,0,0,0,45,,25,27,30,34,
bavovna,weak,51.2,70,,,,,,,0,0,0,45,,25,27,30,34,
bavovna,weak,51.2,75,,,,,,,0,0,0,45,,25,27,30,34,
bavovna,weak,51.2,80,,,,,,,0,0,0,45,,25,27,30,34,
bavovna,weak,51.2,85,,,,,,,0,0,0,45,,25,27,30,34,
bavovna,weak,51.2,90,,,,,,,0,0,0,45,,25,27,30,34,
bavovna,weak,51.2,100,,,,,,,0,0,0,45,,25,27,30,34,
bavovna,average,63.6,65,,,,,,,0,0,0,63,,42,44,48,54,
bavovna,average,63.6,70,,,,,,,0,0,0,63,,42,44,48,54,
bavovna,average,63.6,75,,,,,,,0,0,0,63,,42,44,48,54,
bavovna,average,63.6,80,,,,,,,0,0,0,63,,42,44,48,54,
bavovna,average,63.6,85,,,,,,,0,0,0,63,,42,44,48,54,
bavovna,average,63.6,90,,,,,,,0,0,0,63,,42,44,48,54,
bavovna,average,63.6,100,,,,,,,0,0,0,63,,42,44,48,54,
bavovna,strong,74.3,65,,,,,,,1031,0.01031,1.031,81,,57,59,65,70,
bavovna,strong,74.3,70,,,,,,,127,0.00127,0.127,81,,57,59,65,70,
bavovna,strong,74.3,75,,,,,,,15,0.00015,0.015,81,,57,59,65,70,
bavovna,strong,74.3,80,,,,,,,2,0.00002,0.002,81,,57,59,65,70,
bavovna,strong,74.3,85,,,,,,,0,0,0,81,,57,59,65,70,
bavovna,strong,74.3,90,,,,,,,0,0,0,81,,57,59,65,70,
bavovna,strong,74.3,100,,,,,,,0,0,0,81,,57,59,65,70,
bavovna,elite,84.6,65,,,,,,,31869,0.31869,31.868999999999996,95,,71,74,80,86,
bavovna,elite,84.6,70,,,,,,,13495,0.13495,13.495,95,,71,74,80,86,
bavovna,elite,84.6,75,,,,,,,4245,0.04245,4.245,95,,71,74,80,86,
bavovna,elite,84.6,80,,,,,,,1031,0.01031,1.031,95,,71,74,80,86,
bavovna,elite,84.6,85,,,,,,,167,0.00167,0.167,95,,71,74,80,86,
