club_decade_player_id,club_decade_id,team_id,team_name,decade,player_id,player_name,citizenship,position,main_position,game_position,seasons_count,rows_count,goals,assists,clean_sheets,goals_conceded,yellow_cards,direct_red_cards,penalty_goals,minutes_played,raw_score,local_rating,global_rating,global_percentile,hidden_modifier,effective_global_rating
10468_stal_alchevsk_2000s_24008,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,24008,Rubén Gomez (24008),Argentina,Midfield - Central Midfield,Midfield,CM,2,2,1.0,5,0,0,6,0,0,1397.0,31.0,95.0,74.0,0.8010584556170315,1.0,74.0
10468_stal_alchevsk_2000s_418361,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,418361,Yakiv Kripak (418361),Ukraine,Attack - Centre-Forward,Attack,FW,1,1,2.0,1,0,0,0,0,0,429.0,17.0,74.7,68.6,0.6645417368294443,1.0,68.6
10468_stal_alchevsk_2000s_59039,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,59039,Andriy Gavryushov (59039),Ukraine,Defender - Right-Back,Defender,RB,2,2,0.0,1,0,0,12,0,0,0.0,10.0,64.5,63.6,0.5188838104402214,1.0,63.6
10468_stal_alchevsk_2000s_47602,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,47602,Bogdan Mara (47602),Romania,Midfield - Attacking Midfield,Midfield,AM,1,1,1.0,0,0,0,1,0,0,846.0,8.0,61.6,61.9,0.46572047149386575,1.0,61.9
10468_stal_alchevsk_2000s_59038,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,59038,Vitaliy Gavrysh (59038),Ukraine,Defender - Centre-Back,Defender,CB,1,1,1.0,0,0,0,2,0,0,847.0,8.0,61.6,61.9,0.46572047149386575,1.0,61.9
10468_stal_alchevsk_2000s_98479,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,98479,Yevgen Kotov (98479),Ukraine,Defender - Centre-Back,Defender,CB,1,1,1.0,0,0,0,2,0,0,1170.0,8.0,61.6,61.9,0.46572047149386575,1.0,61.9
10468_stal_alchevsk_2000s_91366,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,91366,Oleksandr Akymenko (91366),Ukraine,Attack - Centre-Forward,Attack,FW,2,2,0.0,0,0,0,0,0,0,0.0,6.0,58.7,58.6,0.36901611739235024,1.0,58.6
10468_stal_alchevsk_2000s_19728,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,19728,Paulo Ramos Vogt (19728),Brazil  Portugal,Attack - Centre-Forward,Attack,FW,1,1,0.0,0,0,0,1,0,0,0.0,3.0,54.4,51.2,0.16754871301419294,1.0,51.2
10468_stal_alchevsk_2000s_91214,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,91214,Sergiy Grybanov (91214),Ukraine,Attack - Centre-Forward,Attack,FW,1,1,0.0,0,0,0,0,0,0,0.0,3.0,54.4,51.2,0.16754871301419294,1.0,51.2
10468_stal_alchevsk_2000s_91245,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,91245,Ruslan Yermolenko (91245),Ukraine,Midfield - Central Midfield,Midfield,CM,1,1,0.0,0,0,0,3,0,0,0.0,3.0,54.4,51.2,0.16754871301419294,1.0,51.2
10468_stal_alchevsk_2000s_91704,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,91704,Yuriy Danchenko (91704),Ukraine,Defender - Left-Back,Defender,LB,1,1,0.0,0,0,0,0,0,0,0.0,3.0,54.4,51.2,0.16754871301419294,1.0,51.2
10468_stal_alchevsk_2000s_91579,10468_stal_alchevsk_2000s,10468,Stal Alchevsk,2000s,91579,Roman Voynarovskiy (91579),Russia  Ukraine,Midfield - Defensive Midfield,Midfield,CDM,1,1,0.0,0,0,0,0,0,0,0.0,2.0,52.9,45.6,0.016237671397642532,1.0,45.6
10674_fk_kharkiv_2010_2000s_53270,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,53270,Oleksandr Gladkyi (53270),Ukraine,Attack - Centre-Forward,Attack,FW,2,2,14.0,5,0,0,9,0,3,1225.0,96.0,95.0,84.8,0.9545345200866009,1.0,84.8
10674_fk_kharkiv_2010_2000s_58255,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,58255,Yuriy Tselykh (58255),Ukraine,Attack - Centre-Forward,Attack,FW,2,2,5.0,4,0,0,5,0,1,254.0,47.0,72.0,78.3,0.878277604041376,1.0,78.3
10674_fk_kharkiv_2010_2000s_58043,10674_fk_kharkiv_2010_2000s,10674,FK Kharkiv (-2010),2000s,58043,Rustam Khudzhamov (58043),Ukraine,Goalkeeper,Goalkeeper,GK,3,3,0.0,0,20,61,6,0,0,5220.0,39.0,68.3,76.0,0.8490497955256194,1.0,76.0
